"N","se","lcl","ucl","year","grid"
0.000375,0.0193616888414066,0,0,2019,"JerraEast P"
0.000791666666666667,0.0347527973036307,0,0,2020,"JerraEast P"
0.00154166666666667,0.0594931710964728,0,0,2021,"JerraEast P"
0.000875,0.0403026308601841,0,0,2022,"JerraEast P"
0.000458333333333333,0.0214042601636591,0,0,2023,"JerraEast P"
0.001375,0.0543743128561558,0,0,2009,"JerraEast U"
0.000875,0.0381789004929658,0,0,2010,"JerraEast U"
0.001125,0.0413175367019659,0,0,2011,"JerraEast U"
0.00308333333333333,0.0912369071672211,0,0,2012,"JerraEast U"
0.000708333333333333,0.0322677596717732,0,0,2013,"JerraEast U"
0.001,0.0341425722249353,0,0,2014,"JerraEast U"
0.00120833333333333,0.0423117145985825,0,0,2015,"JerraEast U"
6.11291666666667,2.54558830670142,3,12,2016,"JerraEast U"
2.03579166666667,1.47111662723797,1,6,2017,"JerraEast U"
2.051,1.46920804307788,1,6,2018,"JerraEast U"
0.00120833333333333,0.0536065263412487,0,0,2019,"JerraEast U"
0.0015,0.0706962392794719,0,0,2020,"JerraEast U"
0.000791666666666667,0.0322658226150638,0,0,2021,"JerraEast U"
0.000583333333333333,0.0288622203762248,0,0,2022,"JerraEast U"
0.00116666666666667,0.0437651158261809,0,0,2023,"JerraEast U"
0.000916666666666667,0.0428085203273182,0,0,2009,"JerraEast Y"
5e-04,0.0288637843427586,0,0,2010,"JerraEast Y"
0.000916666666666667,0.0387197906736783,0,0,2011,"JerraEast Y"
0.000625,0.0309512943877314,0,0,2012,"JerraEast Y"
0.00108333333333333,0.053219148187419,0,0,2013,"JerraEast Y"
0.00104166666666667,0.0413197217100662,0,0,2014,"JerraEast Y"
0.000958333333333333,0.0432915660055072,0,0,2015,"JerraEast Y"
0.000583333333333333,0.0273804850093187,0,0,2016,"JerraEast Y"
0.00108333333333333,0.0408113030175605,0,0,2017,"JerraEast Y"
2.03475,1.43702649513309,1,6,2018,"JerraEast Y"
2.02033333333333,1.44147140064606,1,6,2019,"JerraEast Y"
0.00158333333333333,0.0499759654444245,0,0,2020,"JerraEast Y"
0.002125,0.0787659584561047,0,0,2021,"JerraEast Y"
0.000875,0.0381789004929658,0,0,2022,"JerraEast Y"
0.00141666666666667,0.0508078138541381,0,0,2023,"JerraEast Y"
55.008125,8.59629113786465,41,74,2006,"JerraWest E"
